KUSAMA
Date,Open,High,Low,Close,Adj Close,Volume
2019-12-20,1.230683,1.368660,1.120525,1.270513,1.270513,8340889
2019-12-21,1.270513,1.341654,1.181803,1.201570,1.201570,6202726
2019-12-22,1.199584,1.263760,1.188080,1.230128,1.230128,4325049
2019-12-23,1.231737,1.319233,1.187793,1.247164,1.247164,6932664
2019-12-24,1.246476,1.885989,1.191464,1.407963,1.407963,4463226
2019-12-25,1.407963,1.721227,1.292638,1.576571,1.576571,1002401
2019-12-26,1.576571,1.637280,1.242028,1.341114,1.341114,718240
2019-12-27,1.340193,1.469407,1.225492,1.283300,1.283300,606407
2019-12-28,1.283300,1.301965,1.147500,1.184814,1.184814,590957
2019-12-29,1.162622,1.233467,1.141473,1.172788,1.172788,687409
2019-12-30,1.184016,1.244677,1.161205,1.187537,1.187537,662223
2019-12-31,1.183803,1.225879,1.092305,1.171147,1.171147,538921
2020-01-01,1.165705,1.196611,1.150370,1.172906,1.172906,450835
2020-01-02,1.179104,1.258903,1.098170,1.133375,1.133375,307915
2020-01-03,1.103162,1.208390,1.056945,1.204425,1.204425,535449
2020-01-04,1.203465,1.388354,1.194647,1.307908,1.307908,592657
2020-01-05,1.312364,1.372804,1.276798,1.314474,1.314474,516379
2020-01-06,1.305256,1.366634,1.276233,1.309060,1.309060,582058
2020-01-07,1.309060,1.368181,1.276970,1.316967,1.316967,530691
2020-01-08,1.316967,1.406921,1.284943,1.391262,1.391262,522310
2020-01-09,1.389047,1.399820,1.251459,1.337736,1.337736,442634
2020-01-10,1.348329,1.396096,1.295295,1.381575,1.381575,547668
2020-01-11,1.392856,1.498382,1.321621,1.376600,1.376600,527666
2020-01-12,1.380272,1.388143,1.283008,1.319051,1.319051,499166
2020-01-13,1.315513,1.320323,1.278703,1.295566,1.295566,367730
2020-01-14,1.294632,1.312605,0.915787,1.070480,1.070480,657599
2020-01-15,1.063205,1.297575,0.944820,1.019094,1.019094,636724
2020-01-16,1.019579,1.208070,1.002119,1.056499,1.056499,611714
2020-01-17,1.056306,1.139986,1.014801,1.039153,1.039153,685201
2020-01-18,1.031025,1.126661,0.959563,1.038784,1.038784,675065
2020-01-19,1.036271,1.179975,0.986338,1.049710,1.049710,754098
2020-01-20,1.049710,1.143476,1.015797,1.097706,1.097706,753106
2020-01-21,1.097561,1.316430,1.058817,1.209222,1.209222,803416
2020-01-22,1.216780,1.230754,1.012426,1.077799,1.077799,718163
2020-01-23,1.078187,1.108612,0.999373,1.056558,1.056558,719403
2020-01-24,1.056558,1.059599,1.000310,1.031531,1.031531,673465
2020-01-25,1.011893,1.083282,1.001278,1.027628,1.027628,527108
2020-01-26,1.036979,1.125784,1.000496,1.057307,1.057307,713911
2020-01-27,1.054616,1.186413,1.022055,1.157267,1.157267,797112
2020-01-28,1.156886,1.211939,1.132941,1.159471,1.159471,673021
2020-01-29,1.166390,1.215726,1.012939,1.129143,1.129143,806551
2020-01-30,1.116995,1.154812,1.034265,1.072218,1.072218,807546
2020-01-31,1.060829,1.190456,1.041212,1.171817,1.171817,879254
2020-02-01,1.160733,1.212158,1.105859,1.155695,1.155695,775448
2020-02-02,1.166427,1.287849,1.119280,1.240576,1.240576,937901
2020-02-03,1.240576,1.274350,1.080736,1.102629,1.102629,892359
2020-02-04,1.097367,1.157292,1.077408,1.094376,1.094376,690341
2020-02-05,1.097390,1.187229,0.961845,1.098999,1.098999,733769
2020-02-06,1.098999,1.122749,1.004537,1.048973,1.048973,669915
2020-02-07,1.046773,1.136725,0.917964,1.052780,1.052780,768247
2020-02-08,1.040707,1.112232,0.963075,1.059739,1.059739,767675
2020-02-09,1.082852,1.103653,0.995386,1.063915,1.063915,754537
2020-02-10,1.071709,1.090536,1.005748,1.052083,1.052083,709698
2020-02-11,1.063345,1.171877,1.020687,1.054463,1.054463,729008
2020-02-12,1.055060,1.305193,1.049277,1.182759,1.182759,845154
2020-02-13,1.182759,1.400688,1.103119,1.334529,1.334529,936402
2020-02-14,1.328542,2.217075,1.288726,1.775393,1.775393,1115568
2020-02-15,1.775393,1.960365,1.576748,1.633572,1.633572,939591
2020-02-16,1.616492,1.711215,1.572503,1.614665,1.614665,738870
2020-02-17,1.611378,1.831671,1.254555,1.423966,1.423966,794419
2020-02-18,1.387692,1.855188,1.337253,1.645962,1.645962,826988
2020-02-19,1.649842,2.225701,1.628640,2.020657,2.020657,1100508
2020-02-20,2.000941,2.254695,1.804575,1.896695,1.896695,980683
2020-02-21,1.900755,2.702437,1.870534,2.553727,2.553727,1483966
2020-02-22,2.553359,3.335517,2.428027,3.078349,3.078349,2054979
2020-02-23,3.078349,3.108865,2.501429,2.749923,2.749923,1661416
2020-02-24,2.749883,3.206104,2.736322,3.130555,3.130555,1823916
2020-02-25,3.147428,3.362703,2.798621,2.917743,2.917743,1759157
2020-02-26,2.924458,2.931349,2.195553,2.442299,2.442299,1610958
2020-02-27,2.499601,2.747669,2.194194,2.615527,2.615527,1314953
2020-02-28,2.604901,2.825888,2.284574,2.652753,2.652753,1448634
2020-02-29,2.649076,3.397815,2.450629,2.881956,2.881956,1759121
2020-03-01,2.884044,3.095782,2.799205,2.932393,2.932393,1739401
2020-03-02,2.917964,3.642546,2.831223,3.621573,3.621573,2185238
2020-03-03,3.622164,3.773123,3.350065,3.462456,3.462456,2159035
2020-03-04,3.452934,3.506704,3.243887,3.425259,3.425259,2096142
2020-03-05,3.425381,3.479826,3.148680,3.202915,3.202915,1907098
2020-03-06,3.227854,3.240212,2.770939,2.907786,2.907786,1821237
2020-03-07,2.889858,3.222532,2.730531,3.020791,3.020791,1966859
2020-03-08,3.020791,3.415954,2.865313,3.021924,3.021924,1851960
2020-03-09,3.031129,3.044974,2.325971,2.556532,2.556532,1650143
2020-03-10,2.525566,2.760757,2.276321,2.477877,2.477877,1540749
2020-03-11,2.495121,2.639291,2.097023,2.199058,2.199058,1486666
2020-03-12,2.165046,2.314630,1.460999,1.528673,1.528673,1126654
2020-03-13,1.538844,1.764780,1.169783,1.493481,1.493481,998612
2020-03-14,1.494640,1.848270,1.494640,1.730643,1.730643,1124925
2020-03-15,1.730643,1.777814,1.423986,1.559126,1.559126,992918
2020-03-16,1.542370,1.555791,1.299614,1.462696,1.462696,920699
2020-03-17,1.486037,1.509769,1.336783,1.371448,1.371448,752432
2020-03-18,1.402685,1.512525,1.331775,1.423095,1.423095,838225
2020-03-19,1.423095,1.896102,1.408902,1.859144,1.859144,1945076
2020-03-20,1.856749,2.016420,1.752331,1.880002,1.880002,1914370
2020-03-21,1.880002,2.028352,1.798168,1.876138,1.876138,1810063
2020-03-22,1.878630,1.943683,1.787204,1.855360,1.855360,1800724
2020-03-23,1.855360,2.081321,1.730120,2.076056,2.076056,2304583
2020-03-24,2.079290,2.181631,1.930195,2.155023,2.155023,2023465
2020-03-25,2.161069,2.172298,1.961018,2.022525,2.022525,2363042
2020-03-26,2.022525,2.031227,1.880554,1.997266,1.997266,1388525
2020-03-27,1.997168,2.019710,1.925597,1.992160,1.992160,1613213
2020-03-28,1.982148,1.987080,1.829623,1.891682,1.891682,1254433
2020-03-29,1.892343,1.911851,1.842679,1.884588,1.884588,1116869
2020-03-30,1.884647,1.962095,1.812205,1.957405,1.957405,1571799
2020-03-31,1.957390,2.023989,1.903696,1.974893,1.974893,2464346
2020-04-01,1.974893,2.157348,1.944406,2.157348,2.157348,1559761
2020-04-02,2.158586,2.461548,2.145751,2.373445,2.373445,2807674
2020-04-03,2.377706,2.907655,2.373240,2.752360,2.752360,2940988
2020-04-04,2.751765,2.853477,2.638466,2.642270,2.642270,2466054
2020-04-05,2.643165,2.738111,2.506175,2.560907,2.560907,1751771
2020-04-06,2.551935,2.763228,2.550129,2.673183,2.673183,1580805
2020-04-07,2.671802,2.830027,2.671802,2.777788,2.777788,1394543
2020-04-08,2.779793,2.807272,2.572827,2.592161,2.592161,2033697
2020-04-09,2.589233,2.727535,2.582686,2.695743,2.695743,1786161
2020-04-10,2.702173,2.753540,2.613407,2.694978,2.694978,1910011
2020-04-11,2.694978,2.866574,2.546609,2.661980,2.661980,2448142
2020-04-12,2.658737,2.781923,2.624057,2.775265,2.775265,2492514
2020-04-13,2.772511,2.832720,2.681793,2.802510,2.802510,2652234
2020-04-14,2.802510,3.056966,2.768074,2.989552,2.989552,3394193
2020-04-15,2.991600,2.994005,2.898361,2.931019,2.931019,1893773
2020-04-16,2.936604,3.225738,2.865756,3.185352,3.185352,2936988
2020-04-17,3.184592,3.191763,3.029414,3.070678,3.070678,1837872
2020-04-18,3.070678,3.253896,3.046848,3.167632,3.167632,2339658
2020-04-19,3.172216,3.353624,3.125034,3.253983,3.253983,2273187
2020-04-20,3.249829,3.479980,3.173166,3.326165,3.326165,3304447
2020-04-21,3.330314,3.333161,3.270210,3.294150,3.294150,1433041
2020-04-22,3.284501,4.025478,3.225591,3.931529,3.931529,1446954
2020-04-23,3.913363,4.970108,3.896711,4.621495,4.621495,1891352
2020-04-24,4.621692,5.448334,4.350979,4.372838,4.372838,1277577
2020-04-25,4.356361,4.382813,3.968426,4.126249,4.126249,1330087
2020-04-26,4.118851,4.711774,3.995165,4.327273,4.327273,1675011
2020-04-27,4.335230,4.361968,3.989081,4.058456,4.058456,1566017
2020-04-28,4.071607,4.497260,3.903699,4.281264,4.281264,1522204
2020-04-29,4.282761,4.379987,4.044833,4.264897,4.264897,1918742
2020-04-30,4.267579,6.235861,4.226315,5.305211,5.305211,3038337
2020-05-01,5.305211,5.732536,4.868970,5.387629,5.387629,2659228
2020-05-02,5.393000,5.463065,4.951555,5.137067,5.137067,2176112
