Date,Open,High,Low,Close,Adj Close,Volume
2020-09-18,2704.643066,3523.939941,2704.643066,3523.939941,3523.939941,322402
2020-09-19,3521.214844,7357.251953,3430.703613,7357.251953,7357.251953,783322
2020-09-20,7355.321777,8029.541992,6687.960938,6709.184570,6709.184570,460089
2020-09-21,6709.184570,6749.516602,4779.700684,4786.153809,4786.153809,250518
2020-09-22,4771.321777,4800.114258,3827.942627,3831.102539,3831.102539,163056
2020-09-23,3831.984863,3926.010742,3499.451416,3926.000244,3926.000244,212798
2020-09-24,5553.783203,6627.943848,5553.783203,5776.529297,5776.529297,80216
2020-09-25,5776.509766,5852.629395,5615.741211,5626.919434,5626.919434,21583
2020-09-26,5626.919434,5654.473633,4484.361328,4584.444336,4584.444336,72381
2020-09-27,4584.444336,4659.220703,4314.375977,4519.062012,4519.062012,59552
2020-09-28,4519.043457,4962.642090,4360.914551,4368.111328,4368.111328,68304
2020-09-29,4368.104492,4368.104492,4079.871338,4136.387207,4136.387207,16826
2020-09-30,4136.394043,4140.091797,3848.512939,3874.158936,3874.158936,12127
2020-10-01,3874.160645,3915.691162,3177.369873,3223.938965,3223.938965,65724
2020-10-02,3223.938965,3223.938965,2909.968506,2950.518066,2950.518066,62368
2020-10-03,2950.518311,3286.275146,2904.657227,3268.046631,3268.046631,50011
2020-10-04,3268.046631,3529.010986,3266.247559,3473.937500,3473.937500,61014
2020-10-05,3474.002197,3596.632080,3399.147949,3505.323975,3505.323975,21806
2020-10-06,3505.348145,3525.758301,2583.087402,2590.847656,2590.847656,28345
2020-10-07,2590.848877,2814.358398,2538.331543,2813.520020,2813.520020,30502
2020-10-08,2813.520020,3019.088867,2801.140137,2976.915771,2976.915771,25288
2020-10-09,2976.915771,4094.489746,2956.655518,4064.612061,4064.612061,104943
2020-10-10,4062.521240,4640.963867,4061.982910,4581.937500,4581.937500,45787
2020-10-11,4581.937500,4769.109863,4492.329102,4517.325195,4517.325195,26126
2020-10-12,4517.325195,4702.208008,4011.540039,4623.183105,4623.183105,62559
2020-10-13,4623.183105,4802.894043,4566.725098,4729.690430,4729.690430,0
2020-10-14,4739.368652,4805.436035,4642.632813,4708.506836,4708.506836,0
2020-10-15,4708.505371,4729.905762,4607.632324,4683.166992,4683.166992,0
2020-10-16,4683.166992,4715.174316,4498.982422,4544.041992,4544.041992,0
2020-10-17,4544.041992,4587.954102,4522.452637,4576.636230,4576.636230,0
2020-10-18,4576.635742,4697.507324,4567.618164,4692.743652,4692.743652,0
2020-10-19,4692.743652,4756.071777,4636.767090,4714.109375,4714.109375,0
2020-10-20,4714.108398,4724.349609,4561.065918,4580.124512,4580.124512,0
2020-10-21,4580.122070,4744.790039,3461.824463,3514.382568,3514.382568,25722
2020-10-22,3514.382568,4001.208496,3461.345459,3894.729004,3894.729004,14154
2020-10-23,3897.348877,3929.216553,3762.125244,3820.886719,3820.886719,0
2020-10-24,3820.748291,3952.306641,3800.235352,3828.824951,3828.824951,13343
2020-10-25,3828.786133,4029.408203,3654.701660,3655.413818,3655.413818,22285
2020-10-26,3655.353760,3675.457764,3290.228271,3451.998047,3451.998047,18713
2020-10-27,3452.149414,3907.298096,3444.948975,3869.735840,3869.735840,19513
2020-10-28,3875.811035,4025.631836,3395.034180,3398.348389,3398.348389,10570
2020-10-29,3398.217773,3398.220459,3104.592041,3104.897461,3104.897461,27378
2020-10-30,3104.853760,3134.010742,2823.181885,2823.181885,2823.181885,5207
2020-10-31,2823.222900,3025.287109,2794.623291,2962.272949,2962.272949,11987
2020-11-01,2962.253174,3079.410400,2959.822021,2987.010010,2987.010010,16549
2020-11-02,2987.108154,3044.947510,2562.291504,2573.666504,2573.666504,19845
2020-11-03,2568.853516,2872.720459,2557.755859,2860.511230,2860.511230,4703
2020-11-04,2860.579834,3035.166992,2817.752930,2990.333252,2990.333252,678
2020-11-05,2991.007568,3021.847412,2781.855469,2803.584229,2803.584229,19990
2020-11-06,2803.545166,2877.441162,2388.924561,2588.572266,2588.572266,45109
2020-11-07,2588.643799,3013.099854,2588.151611,2869.844727,2869.844727,7444
2020-11-08,2870.791504,2941.282227,2713.659424,2754.161621,2754.161621,12416
2020-11-09,2754.197510,2769.589600,2528.547607,2538.070557,2538.070557,9473
2020-11-10,2537.954590,2553.628418,2418.678955,2492.045898,2492.045898,9612
2020-11-11,2491.714844,2757.153809,2491.473389,2754.859375,2754.859375,7537
2020-11-12,2754.837891,2905.852295,2708.089844,2893.472412,2893.472412,1472
2020-11-13,2893.246826,3328.807129,2890.203369,3326.088379,3326.088379,37798
2020-11-14,3326.216553,3539.741943,3263.596680,3533.553711,3533.553711,32001
2020-11-15,3533.713379,3673.645264,3469.833496,3535.163818,3535.163818,1849
2020-11-16,3535.279053,3559.315674,3291.554688,3317.108154,3317.108154,12486
2020-11-17,3340.109131,3376.466553,3221.544678,3371.357178,3371.357178,9598
2020-11-18,3371.153809,3458.081299,3215.507813,3455.288330,3455.288330,4807
2020-11-19,3455.648926,4049.415771,3357.991455,4049.415771,4049.415771,28483
2020-11-20,4049.312988,4866.929688,4049.312988,4635.976563,4635.976563,69541
2020-11-21,4635.758789,4715.565918,4154.440430,4168.764648,4168.764648,39223
2020-11-22,4168.817383,4305.417969,3760.968994,4148.910645,4148.910645,5382
2020-11-23,4148.611816,4568.602051,4085.613525,4558.740234,4558.740234,6748
2020-11-24,4557.720215,4697.022949,4482.592773,4610.577637,4610.577637,20719
2020-11-25,4610.972168,4634.039063,4201.790527,4278.438477,4278.438477,8504
2020-11-26,4277.683105,4314.922363,3282.346680,3475.406494,3475.406494,16689
2020-11-27,3478.210693,3556.707275,3290.803711,3389.585449,3389.585449,14152
2020-11-28,3390.056885,3618.499512,3340.854004,3566.938477,3566.938477,142
2020-11-29,3566.995850,3748.468750,3520.971680,3741.850342,3741.850342,670
2020-11-30,3741.802979,3944.745850,3640.479492,3740.880371,3740.880371,12563
2020-12-01,3741.407227,4154.891602,3679.565918,3925.694824,3925.694824,28281
2020-12-02,3924.398193,4062.005859,3817.608643,3964.264404,3964.264404,466
2020-12-03,3964.156494,4113.395020,3884.881836,3899.402832,3899.402832,5084
2020-12-04,3899.090332,3911.987061,3545.371826,3551.576904,3551.576904,746
2020-12-05,3551.122070,3684.750977,3515.499512,3647.370605,3647.370605,10120
2020-12-06,3647.943359,3709.647461,3570.539551,3654.014648,3654.014648,4645
2020-12-07,3655.212646,3671.729980,3528.104980,3646.200928,3646.200928,4401
2020-12-08,3645.779541,3800.902588,3606.091797,3620.802979,3620.802979,7298
2020-12-09,3621.525635,3704.391113,1762.871094,3682.748047,3682.748047,10159
2020-12-10,3682.911377,3688.948730,3516.247803,3606.496826,3606.496826,11573
2020-12-11,3606.355469,3609.855225,3401.457275,3406.010986,3406.010986,9466
2020-12-12,3406.278564,3778.121582,3402.683838,3748.314941,3748.314941,4927
2020-12-13,3747.689209,3936.061768,3725.259521,3924.459717,3924.459717,1339
